ID,Day,Hour,Day_of_the_Week,Channel,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Conversions,,Channel,,,Hour,Facebook,Impr. Facebook,Google Search,Impr. Google Search,Youtube,Impr. Youtube,Snapchat,Impr. Snapchat,TikTok,Impr. Snapchat
BXJDHA00007487,02/10/2018,03,terça-feira,Facebook,82132,52340,45981,5,"$36,32",0,,Facebook,,,03,186,5128539,84,120500576,171,82716719,324,8594808,168,35173140
BXJDHA00007588,02/10/2018,03,terça-feira,Facebook,41889,28393,25183,4,"$18,05",0,,Google Search,,,04,181,3411330,84,97819045,170,69551945,319,5765611,168,30297744
BXJDHA00014409,18/11/2018,04,domingo,Google Search,2438114,1365005,1279215,1202,"$2.387,35",41,,YouTube,,,06,190,9246285,84,192355766,174,224269271,327,7231717,168,65398967
BXJDHA00023426,19/11/2018,04,segunda-feira,Google Search,2429576,1362984,1276615,1229,"$2.417,61",33,,Snapchat,,,05,184,3498676,84,111001412,169,99408962,324,4708866,168,35895352
BXJDHA00014380,18/11/2018,03,domingo,Google Search,2863336,1634819,1533136,1433,"$2.802,04",27,,TikTok,,,14,196,21635028,84,910697606,179,408129547,333,43737097,168,125754604
BXJDHA00013828,20/11/2018,03,terça-feira,Google Search,2808777,1614580,1515152,1496,"$2.911,94",28,,,,,02,183,8221985,83,168669122,170,120262769,322,13201948,166,46995114
BXJDHA00015992,19/09/2018,06,quarta-feira,YouTube,1527,199,199,1,"$1,94",0,,,,,01,194,14206913,84,260058033,179,200343227,329,21322690,168,71594441
BXJDHA00023352,19/11/2018,05,segunda-feira,Google Search,2827691,1524992,1433292,1556,"$3.012,38",48,,,,,12,203,22207508,84,885615843,175,403504432,333,39541006,168,123079077
BXJDHA00013338,11/11/2018,05,domingo,Google Search,2620297,1444815,1353670,1412,"$2.717,35",44,,,,,00,203,23970847,84,405482437,175,334967045,331,32532891,168,116781177
BXJDHA00021311,30/10/2018,05,terça-feira,Google Search,2514038,1406242,1298704,1375,"$2.638,20",17,,,,,07,201,19500297,84,337621199,174,371661328,334,13711196,168,117354989
BXJDHA00013878,20/11/2018,05,terça-feira,Google Search,2625541,1500013,1407274,1603,"$3.028,27",50,,,,,20,211,38805011,84,919983221,182,653191651,332,60320287,168,206442006
BXJDHA00010151,18/10/2018,05,quinta-feira,Google Search,2337534,1273423,1199072,1348,"$2.531,02",16,,,,,08,195,23580703,84,505573212,174,424512532,333,19535091,168,137486014
BXJDHA00013912,20/11/2018,04,terça-feira,Google Search,2292374,1275700,1192948,1263,"$2.364,86",24,,,,,15,209,24246230,84,904320386,186,419728403,333,45163058,168,133502145
BXJDHA00023800,21/10/2018,04,domingo,Google Search,2143401,1167709,1097870,1077,"$2.008,54",20,,,,,16,205,30727757,85,944388060,175,461067371,334,52250638,168,150470022
BXJDHA00019858,22/10/2018,05,segunda-feira,Google Search,2435298,1360938,1288188,1456,"$2.696,74",28,,,,,09,205,24186691,84,685828107,184,426232919,333,26971883,168,131468523
BXJDHA00023392,19/11/2018,03,segunda-feira,Google Search,2790256,1585514,1492873,1420,"$2.627,09",27,,,,,10,201,24122234,84,788496290,180,413710331,333,33351835,168,127865662
BXJDHA00006531,17/09/2018,14,segunda-feira,YouTube,1333,271,269,1,"$1,85",0,,,,,22,202,31640206,84,795924511,188,669302365,332,49547657,168,188774687
BXJDHA00010228,18/10/2018,04,quinta-feira,Google Search,2361835,1260151,1187428,1218,"$2.241,62",23,,,,,11,207,22512238,84,839245366,173,393580644,333,36302171,168,121720333
BXJDHA00021978,29/10/2018,05,segunda-feira,Google Search,2508621,1404411,1311102,1375,"$2.527,78",43,,,,,23,198,22777325,84,603130809,188,504954562,332,37331766,168,137094863
BXJDHA00013837,20/11/2018,02,terça-feira,Google Search,3797234,2197427,2074217,2172,"$3.991,76",33,,,,,18,206,36081420,85,855949807,188,523512433,336,56134145,170,170798535
BXJDHA00011665,08/11/2018,05,quinta-feira,Google Search,2597125,1452229,1348449,1480,"$2.716,32",22,,,,,17,208,34397257,85,917000105,183,504013376,336,55083623,170,167902444
BXJDHA00023693,21/10/2018,05,domingo,Google Search,2352160,1332638,1263840,1369,"$2.503,14",16,,,,,19,207,38004848,84,865616869,184,564657096,332,58450571,168,185038115
BXJDHA00023974,17/10/2018,05,quarta-feira,Google Search,2345889,1325979,1250738,1419,"$2.589,76",27,,,,,21,209,37582456,84,909992824,188,714512745,332,58127955,168,210285042
